instagram_account,username,comment
https://www.instagram.com/2person_30,trinis_2308,Semoga Allah memperlihatkan kekuasaan Nya dengan sesuatu yang tidak bisa diterima akal manusia hingga yg benar akan maju memimpin negeri ini
https://www.instagram.com/2person_30,kikiyustikasari,"Alhamdulillah semuanya lancar dan diridhoi ya,"
https://www.instagram.com/2person_30,firdaus_dopy,"Bodo amat, karena dari sejak MK udah g percaya"
https://www.instagram.com/2person_30,p3juang_nkri,"Selamat buat pajak rakyat kecil NAIK,BBM NAIK,listrik naik,semuanya untuk mewujudkan makan siang GRATIS,yg akan di berikannya di tahun 2029"
https://www.instagram.com/2person_30,rinda_olii,Semoga sehat selalu 5thn menjabat.
https://www.instagram.com/2person_30,kakungali,Semoga aja Indonesia semakin maju dan disegani diseluruh dunia. Sukses Indonesia dibawah pimpinan pak Prabowo
https://www.instagram.com/2person_30,irindry,Amin semoga menjadi presiden yang baik dan bertanggung jawab kepada semua orang
https://www.instagram.com/2person_30,sukirno214,Gak pantes banget siih
https://www.instagram.com/2person_30,idaayusumawati74,"Semoga,sukses,lancar,Tuhan melindung"
https://www.instagram.com/2person_30,titisuryati3,Semoga Indonesia semakin maju ke depan di bawah ke pemimpinan Prabowo Gibran
https://www.instagram.com/2person_30,bakhtiar.laoly,"Semua orang dalam negara ini, bukan indonesia lagi, negara orang dalam berkuasa"
https://www.instagram.com/the_front_of_armament_96/,the_front_of_armament_96,Gue pribadi pendukung 01 tapi gue udah terima kenyataan bahwa Prabowo jadi presiden👍
https://www.instagram.com/samy_taulo/,samy_taulo,MENYALA PresidenKu 🔥🔥❤️🇲🇨🇲🇨💯💪👏👏
https://www.instagram.com/setiawanbsp/,setiawanbsp,Semua sayang dan dukung pak Prabowo tapi tidak dengan anak kecil di sebelah nya
https://www.instagram.com/zidnizam/,zidnizam,"Saya pendukung AMIN. Terlepas dari pro-kontranya mungkin memang sudah ditakdirkan saja. Lebih baik kita doakan yang terbaik saja buat Presiden & Wakil agar bekerja dengan bersungguh-sungguh dan mendengarkan suara hati rakyat. Kalau banyak orang yang mendoakan Insya Allah bisa dikabul. Kalau memang kerjanya atau perilakunya kurang dan tidak bisa dengan cara baik lagi, kita bisa sama-sama menurunkannya. Tapi doakanlah yang terbaik, doakan agar hukum Indonesia adil bagi semuanya, rakyat Indonesia makmur dan sejahtera ❤️"
https://www.instagram.com/griyajahit.eri/,griyajahit.eri,Alhamdulillah..❤️❤️
https://www.instagram.com/iwa4849/,iwa4849,Wakilnya mata nya jereng apa y??
https://www.instagram.com/sarihasibuan17/,sarihasibuan17,ini cuma bercanda kan ?
https://www.instagram.com/eddyp.kurniawan/,eddyp.kurniawan,Congratulations 👏🏻👏🏻👏🏻
https://www.instagram.com/jemy_huang/,jemy_huang,😍😍
https://www.instagram.com/gustianursafta/,gustianursafta,Gasalah itu wakilnya
https://www.instagram.com/suryasiddhartha03/,suryasiddhartha03,ini cuman mimpi doang asilnya bukan ini
https://www.instagram.com/taufan_fals/,taufan_fals,agak laen 😂
https://www.instagram.com/halim577999/,halim577999,Sejarah akan mencatat bahwa Pilpres Tahun 2024 adalah Pilpres Terburuk dan Mencedarai Demokrasi dengan praktek Nepotisme dan Kekuasaan Dinasti
https://www.instagram.com/dheriel_agus/,dheriel_agus,😢😢 penantian yang sangat panjang 👏 tapi saya masih sedih andai bapak saya masih ada mungkin dia senang
https://www.instagram.com/septian_pardede_93/,septian_pardede_93,Gibran presiden ☑️ Prabowo ❌
https://www.instagram.com/zzzztttrrrdrivaldi28/,zzzztttrrrdrivaldi28,Baru x ini agak gmna gtu😢😢😢 kaya gak apa ya😢😢
https://www.instagram.com/xelovits/,xelovits,Gak 01 ta? Apa aku salah liat nih
https://www.instagram.com/_bcd_f_hijklmnopq_stuvwxyz/,_bcd_f_hijklmnopq_stuvwxyz,"sehat sehat pak prabowo, jangan makan minum yg dikasih dari orang orang nya pak wakil 😂"
https://www.instagram.com/roswita_laowo/,roswita_laowo,🔥🔥🔥
https://www.instagram.com/tugas2023.id/,tugas2023.id,Saya tidak akan menganggap si bocah  sebagai wakil presiden
https://www.instagram.com/viezahir/,viezahir,Kenapa ga pake peci lu tong?
https://www.instagram.com/ikaarostyka/,ikaarostyka,Ga OK ...emang ga ada yg lain?
https://www.instagram.com/dedesuparja.45/,dedesuparja.45,Ko gak ada rasa bangga ya!
https://www.instagram.com/nafisah6956/,nafisah6956,Calon presiden curang
https://www.instagram.com/muhammadafrio/,muhammadafrio,Gibran kenapa ga pakai peci ye
https://www.instagram.com/enddra_/,enddra_,Tiap hari di kelas liat foto wapres begitu😢 ngantuk
https://www.instagram.com/hellingjj/,hellingjj,"Efek negatif langsung terjadi, nilai tukar USD ke Rupiah naik jadi 16.150 🔥🔥🔥"
https://www.instagram.com/sekarmyaa__/,sekarmyaa__,Sedih terharu 😢😢
https://www.instagram.com/yudimegono/,yudimegono,"presidennya OK , Wakil nya .. ampun daaah"
https://www.instagram.com/tehprem/,tehprem,"Semoga amanah, berkah, berfaedah. Aamiin."
https://www.instagram.com/dila18_f/,dila18_f,Duo Badut Mahkamah Keluarga
https://www.instagram.com/suzannaabdat/,suzannaabdat,Bangganya yg menang CURANG...suap sana sinii...ngotot harus menang.hiii amit2.
https://www.instagram.com/kemalakbar_official/,kemalakbar_official,Saya menggap mereka sebagai ketua RT dan sekertaris lingkungan
https://www.instagram.com/muhersugi_kimhyun/,muhersugi_kimhyun,Presiden kebanggan gen z niii
https://www.instagram.com/itsrianflow/,itsrianflow,Sederhana tapi ada yg tidak suka lihat ini 😭😭🤣🤣
https://www.instagram.com/efrisuif0/,efrisuif0,Alhamdulillah ditunggu makan siang gratisnya
https://www.instagram.com/slaiman_ky/,slaiman_ky,Mereka berdua cuma beban negara
https://www.instagram.com/punkjack82/,punkjack82,Astagfirullah alazim hasil nepotisme dan kekuasaan
https://www.instagram.com/isjpx_/,isjpx_,Postingan ini bikin anak abah tantrum 😂
https://www.instagram.com/number_1_2_3_789/,number_1_2_3_789,Cl
https://www.instagram.com/dndlq_/,dndlq_,"Ko kaya Poto keluarga, tinggal tambah ibu 😂😂😂"
https://www.instagram.com/rsardihidayat/,rsardihidayat,"Kami Pendukung 01 mudah sekali menerima Pak Prabowo, wajar kami alumni 2014-2019, tp untuk wakilnya susah sih😁 bisa ngga diganti pak  atau bu menkeu aj gpp deh..😂🙌"
https://www.instagram.com/suci_sandra/,suci_sandra,"Ganti presiden udah kesekian kalinya. Kita liat apakah nanti masih ada rakyat kelaparan, sekolah butut, dan jembatan ambruk??"
https://www.instagram.com/triwijaya8735/,triwijaya8735,Saya tidak akan menganggap nya karena mereka tersandera KKN👏👏
https://www.instagram.com/saribulan155/,saribulan155,Selamat ya saya ucapkan pada  anak pungut jokowi yg telah menyusul bapak nya jadi wakil presiden
https://www.instagram.com/rama.h.p/,rama.h.p,Aneh🔥
https://www.instagram.com/akhyar_hawari/,akhyar_hawari,01?? oiy kalah awokwokwokk
https://www.instagram.com/nanksb2hne/,nanksb2hne,Slamat Pa Prabowo dn Gibran Presiden dn wakil presiden RI 1 2024 Lanjut dn usut Korupsi pa👍
https://www.instagram.com/debatsejati/,debatsejati,Alhamdulillah Anak Abah menderita selama 5 Tahun.
https://www.instagram.com/gerald_pakiding/,gerald_pakiding,MENYALA PRABOWO!!!🔥🔥👏🙌
https://www.instagram.com/me.fkey/,me.fkey,Congratulations
https://www.instagram.com/__fazol/,__fazol,
https://www.instagram.com/kholidin_alian/,kholidin_alian,Tiwas nyoblos Gibran yg menang Prabowo 🥺
https://www.instagram.com/line_lord89/,line_lord89,Loading koment Anak Abah dan Anak Ayah😂
https://www.instagram.com/eac_ra/,eac_ra,"Semoga usaha ny lancar ya pak ,dan kami support untuk akomodasi dari pajak kami"
https://www.instagram.com/rohmannuryusuf/,rohmannuryusuf,Nak anak abah mending diskip aja deh yaa ketimbang nyampah disini 🤏
https://www.instagram.com/dwi_anns45/,dwi_anns45,sahhh
https://www.instagram.com/lystiooo/,lystiooo,Plis kalo ada makan siang gratis sama bagi bagi susu anak abah gausa di bagii
https://www.instagram.com/kylafkhrh_/,kylafkhrh_,🙂🙂🙂🙂
https://www.instagram.com/norelysha98/,norelysha98,Tahniahhhh 🔥
https://www.instagram.com/okta_faizal_/,okta_faizal_,Sepi banget
https://www.instagram.com/ujang.haryadi/,ujang.haryadi,
https://www.instagram.com/armunawar_dluvaty262/,armunawar_dluvaty262,
https://www.instagram.com/putra_bambu123/,putra_bambu123,Kop tah mere guludug
https://www.instagram.com/mhd_arif_pratama/,mhd_arif_pratama,Ndasmu dan Samsul agak laen memang😂😂
