publishedAt,authorDisplayName,textDisplay,like_count,likeCount
2024-04-22T09:29:53Z,@kintamani9365,"Pesanku Prabowo RI I, Gibran RR RI II,  jgn jadikan Menteri Anis dan Muhaimin itu saja, jika Ganjar dan Mahfud silahkan.",0.0,
2024-04-22T03:02:20Z,@kapidkapid5149,02 harus jadi pemimpin negara ini,0.0,
2024-04-22T03:01:36Z,@kapidkapid5149,Hidup 02,0.0,
2024-04-20T09:31:52Z,@ridwannefendi7611,Alhamdulillah pak prabowo presiden,0.0,
2024-04-20T05:11:45Z,@dedySyaputra-ep8ff,Kami bangga pak Perbowo menang merdeka,0.0,
2024-04-20T02:30:59Z,@EdiJunaedi-mk5ko,"Abai kan aja,pasangan yg ga siap nerima kekalahan nya.",0.0,
2024-04-18T05:14:14Z,@UdraKudratilah,"Jangan takut jangan diam,ayok 02 maju,anis dan refli kadrun suruh didepan ya,",0.0,
2024-04-16T10:32:35Z,@SingarajaSakti-gs5ws,"gasken ambil uang negara mumpung belum di ganti bro, buktikann bahwa kalian orang-orang yang durhaka dan melampaui batas",0.0,
2024-04-15T12:39:31Z,@maxmin-sv6mi,"Lantik pak Prabowo jadi presiden ,udh jelas2 menang, tunggu apa lagi,gak ush dipedulikan si Anies asing imigran arab yaman itu,mau koar2 curang mau atau mau ngebom sana sini mending usir aja dari Indonesia si Anies imigran asing itu dari Indonesia",0.0,
2024-04-09T04:54:42Z,@iwangipsun7223,Hah ga mau aku,0.0,
2024-04-08T13:58:39Z,@fftessa1855,Kami pendukung 02 mengucapkan selamat ya pa prabowo persiden kami yg baru ,2.0,
2024-04-07T09:34:54Z,@HerLena-nd1pu,Aku tak rela NKRI dipimpin oleh anis dn ganjar yg licik bnyk kerjasama dgn negara luar untuk menggagalkan prabowo jdi presiden sebab Amerika sangat takut prabowo jdi presiden disamping prabowo menguasai lima bahasa luar negri dia juga lulusan sekolah militer tersulit di luar negri,0.0,
